ticker,type,issue_date,payment_date,capital,interest_rate,interest_amount,residual_value,cash_flow
CO26,SUB_SOBERANO,2016-10-27,2019-10-28,3.125,0.07125,1.61426,87.5,4.73926
CO26,SUB_SOBERANO,2016-10-27,2020-01-27,3.125,0.07125,1.55859,84.375,4.68359
CO26,SUB_SOBERANO,2016-10-27,2020-04-27,3.125,0.07125,1.50293,81.25,4.62793
CO26,SUB_SOBERANO,2016-10-27,2020-07-27,3.125,0.07125,1.44727,78.125,4.57227
CO26,SUB_SOBERANO,2016-10-27,2020-10-27,3.125,0.07125,1.3916,75,4.5166
CO26,SUB_SOBERANO,2016-10-27,2021-01-27,3.125,0.07125,1.33594,71.875,4.46094
CO26,SUB_SOBERANO,2016-10-27,2021-04-27,3.125,0.07125,1.28027,68.75,4.40527
CO26,SUB_SOBERANO,2016-10-27,2021-07-27,3.125,0.07125,1.22461,65.625,4.34961
CO26,SUB_SOBERANO,2016-10-27,2021-10-27,3.125,0.07125,1.16895,62.5,4.29395
CO26,SUB_SOBERANO,2016-10-27,2022-01-27,3.125,0.07125,1.11328,59.375,4.23828
CO26,SUB_SOBERANO,2016-10-27,2022-04-27,3.125,0.07125,1.05762,56.25,4.18262
CO26,SUB_SOBERANO,2016-10-27,2022-07-27,3.125,0.07125,1.00195,53.125,4.12695
CO26,SUB_SOBERANO,2016-10-27,2022-10-27,3.125,0.07125,0.94629,50,4.07129
CO26,SUB_SOBERANO,2016-10-27,2023-01-27,3.125,0.07125,0.89062,46.875,4.01562
CO26,SUB_SOBERANO,2016-10-27,2023-04-27,3.125,0.07125,0.83496,43.75,3.95996
CO26,SUB_SOBERANO,2016-10-27,2023-07-27,3.125,0.07125,0.7793,40.625,3.9043
CO26,SUB_SOBERANO,2016-10-27,2023-10-27,3.125,0.07125,0.72363,37.5,3.84863
CO26,SUB_SOBERANO,2016-10-27,2024-01-29,3.125,0.07125,0.66797,34.375,3.79297
CO26,SUB_SOBERANO,2016-10-27,2024-04-29,3.125,0.07125,0.6123,31.25,3.7373
CO26,SUB_SOBERANO,2016-10-27,2024-07-29,3.125,0.07125,0.55664,28.125,3.68164
CO26,SUB_SOBERANO,2016-10-27,2024-10-28,3.125,0.07125,0.501,25,3.626
CO26,SUB_SOBERANO,2016-10-27,2025-01-27,3.125,0.07125,0.44531,21.875,3.57031
CO26,SUB_SOBERANO,2016-10-27,2025-04-28,3.125,0.07125,0.38965,18.75,3.51465
